,Quantity,Rate,IndividualCost
Cappuccino,2.0,125,250.0
Americano,0.0,120,0.0
Cold_Brew,2.0,110,220.0
CC Muffin,0.0,70,0.0
Strawberry Smoothie,0.0,140,0.0
Straberry Oreo,0.0,150,0.0
Cr Oreo Fr,0.0,160,0.0
Double Chocolate Fr,0.0,155,0.0
Season Special 1,0.0,120,0.0
Season Special 2,0.0,85,0.0
ColdBrewFV,0.0,90,0.0
CheeseCake,1.0,150,150.0
Hot Chocolate,0.0,145,0.0
Waffels,0.0,180,0.0
MUDPie Shake,0.0,135,0.0
ButterBeer,0.0,125,0.0
MochaFrappe,0.0,140,0.0
Latte,0.0,140,0.0
Menu Of The day 1,0.0,150,0.0
Menu Of The day 2,0.0,150,0.0
